episode,timestep,reward
20,2000,-186.395
40,4000,-261.1242
57,6000,-227.3967
77,8000,-254.5123
96,10000,-176.4927
115,12000,-201.9057
133,14000,-135.0782
152,16000,-129.1478
172,18000,-134.5738
191,20000,-157.1149
211,22000,-109.2591
228,24000,-167.4691
245,26000,-106.9708
266,28000,-113.7071
283,30000,-92.7661
300,32000,-105.6653
316,34000,-108.7898
334,36000,-57.3286
352,38000,-100.8272
370,40000,-125.9809
388,42000,-87.857
404,44000,-104.4212
420,46000,-72.3296
435,48000,-78.7285
443,50000,-68.9292
457,52000,-75.7562
462,54000,-3.444
475,56000,-33.347
490,58000,-25.5254
508,60000,-40.1218
517,62000,-28.6919
532,64000,-32.1239
540,66000,-19.6096
550,68000,-37.6584
558,70000,0.7889
566,72000,-36.6153
572,74000,-46.7532
577,76000,-10.3205
590,78000,-37.5194
603,80000,-28.5159
606,82000,30.4668
613,84000,-11.2746
619,86000,-32.0651
625,88000,17.3744
628,90000,74.1004
635,92000,-24.9366
638,94000,24.1845
644,96000,36.8545
646,98000,39.3914
651,100000,-6.3817
656,102000,-5.5416
662,104000,22.8253
665,106000,7.8914
668,108000,29.885
673,110000,6.6633
675,112000,59.4928
677,114000,58.1346
679,116000,60.0675
683,118000,39.2156
685,120000,-27.2231
688,122000,-22.2192
690,124000,40.9858
693,126000,1.2836
697,128000,-59.7484
699,130000,15.7649
702,132000,-91.1834
707,134000,-51.286
709,136000,-8.5505
711,138000,-11.9586
714,140000,7.0495
716,142000,68.8675
718,144000,77.6796
721,146000,49.056
723,148000,93.9279
725,150000,-105.5934
727,152000,75.8263
729,154000,5.6373
732,156000,9.3236
734,158000,41.3057
736,160000,53.449
738,162000,42.744
740,164000,29.6864
742,166000,100.4277
744,168000,78.1725
746,170000,124.8765
748,172000,70.1794
750,174000,101.6577
752,176000,75.2304
754,178000,66.234
756,180000,100.5674
758,182000,94.2033
760,184000,124.7439
762,186000,91.4044
764,188000,98.7995
767,190000,36.0805
769,192000,132.7601
771,194000,113.5073
773,196000,106.4478
775,198000,78.3644
777,200000,124.5057
779,202000,107.0776
781,204000,123.228
783,206000,79.3441
785,208000,106.7334
787,210000,83.2567
789,212000,99.3886
791,214000,23.1306
793,216000,95.7687
795,218000,118.2805
797,220000,40.3789
799,222000,43.5402
801,224000,105.4475
803,226000,121.22
805,228000,85.3755
808,230000,129.9016
810,232000,49.6741
812,234000,102.9028
814,236000,82.0455
816,238000,103.4459
818,240000,112.1438
820,242000,126.1213
822,244000,89.0966
824,246000,125.2414
827,248000,26.8576
829,250000,103.4738
832,252000,14.5745
834,254000,133.3312
836,256000,120.6707
838,258000,114.8533
840,260000,94.8157
843,262000,60.4071
845,264000,100.7263
847,266000,132.9743
849,268000,86.1592
851,270000,71.9356
853,272000,132.2419
855,274000,119.3299
857,276000,91.6756
859,278000,143.9136
862,280000,56.2359
864,282000,129.0161
866,284000,77.4693
869,286000,52.4388
871,288000,92.5117
873,290000,47.2305
875,292000,79.5338
877,294000,84.1045
879,296000,47.5574
881,298000,43.5317
883,300000,102.6273
886,302000,105.3226
888,304000,63.9961
890,306000,101.2698
892,308000,124.2897
894,310000,115.2125
896,312000,104.9783
898,314000,68.2297
900,316000,88.2401
902,318000,75.3292
904,320000,74.4832
906,322000,71.8275
908,324000,75.1034
910,326000,87.3597
912,328000,86.3368
914,330000,109.7182
916,332000,78.1787
918,334000,99.3168
920,336000,81.9551
922,338000,90.2946
924,340000,107.5782
926,342000,138.4383
928,344000,87.7131
930,346000,86.3189
932,348000,101.7006
934,350000,118.2973
936,352000,81.5221
938,354000,85.8644
940,356000,136.8505
942,358000,83.5084
944,360000,96.3657
946,362000,93.6646
948,364000,75.426
950,366000,83.6118
952,368000,72.5141
954,370000,54.1654
956,372000,77.1518
958,374000,86.867
960,376000,87.8829
962,378000,41.406
964,380000,38.5353
966,382000,78.3479
968,384000,62.7565
970,386000,67.9263
972,388000,83.2041
974,390000,65.8896
976,392000,103.4302
978,394000,86.9971
980,396000,68.9319
982,398000,101.5145
984,400000,73.3826
986,402000,68.4236
988,404000,78.9953
990,406000,79.4473
992,408000,84.8391
994,410000,94.5627
996,412000,103.6048
998,414000,103.084
1000,416000,117.8619
1002,418000,121.2511
1004,420000,106.2848
1006,422000,91.3596
1008,424000,80.9239
1010,426000,118.0415
1012,428000,119.8816
1014,430000,104.5395
1016,432000,139.0701
1018,434000,94.6607
1020,436000,125.8683
1023,438000,66.1141
1025,440000,94.5087
1027,442000,80.8746
1029,444000,85.1967
1031,446000,125.3845
1033,448000,107.693
1035,450000,97.4108
1037,452000,83.7557
1039,454000,100.5147
1041,456000,101.2913
1043,458000,131.8814
1045,460000,94.6048
1047,462000,108.4673
1049,464000,94.2496
1051,466000,62.9538
1053,468000,95.946
1055,470000,81.2016
1057,472000,85.7869
1059,474000,97.4091
1061,476000,74.6452
1063,478000,104.2176
1065,480000,97.3942
1067,482000,80.0662
1069,484000,67.4644
1071,486000,83.2751
1073,488000,84.5621
1075,490000,115.2773
1077,492000,91.8065
1079,494000,78.1059
1081,496000,98.2717
1083,498000,71.6574
1085,500000,92.1818
1087,502000,73.7023
1089,504000,69.6632
1091,506000,134.1026
1093,508000,71.4394
1095,510000,61.7309
1097,512000,113.0632
1099,514000,74.1062
1101,516000,65.9093
1103,518000,70.8904
1105,520000,61.2495
1107,522000,42.2338
1109,524000,88.593
1112,526000,53.4115
1114,528000,85.0079
1116,530000,65.0214
1118,532000,78.2795
1121,534000,64.2774
1124,536000,1.6131
1126,538000,80.1831
1128,540000,42.8061
1130,542000,-112.5375
1132,544000,75.316
1134,546000,40.6004
1136,548000,122.6163
1139,550000,53.3243
1141,552000,96.735
1143,554000,54.9214
1146,556000,73.3576
1148,558000,77.7804
1150,560000,72.8362
1152,562000,78.2857
1154,564000,101.935
1156,566000,45.7114
1158,568000,73.6452
1160,570000,67.7156
1162,572000,49.3443
1164,574000,29.1804
1166,576000,40.7026
1168,578000,27.8789
1170,580000,32.094
1172,582000,64.5675
1175,584000,53.8469
1177,586000,91.1259
1179,588000,58.898
1181,590000,91.5029
1184,592000,99.9901
1186,594000,97.8489
1188,596000,111.7817
1190,598000,109.5745
1192,600000,87.8032
1194,602000,116.3875
1196,604000,82.6818
1198,606000,102.095
1200,608000,97.3531
1202,610000,93.08
1204,612000,110.9574
1206,614000,93.6419
1208,616000,92.2679
1210,618000,100.0158
1212,620000,100.4933
1214,622000,91.5704
1216,624000,110.6946
1218,626000,100.014
1220,628000,116.865
1222,630000,70.8999
1224,632000,100.3274
1226,634000,113.9498
1228,636000,90.2795
1230,638000,111.3762
1232,640000,113.581
1234,642000,99.6382
1236,644000,95.2799
1238,646000,119.7117
1240,648000,95.8347
1242,650000,100.7358
1244,652000,59.149
1246,654000,64.3314
1248,656000,67.6489
1250,658000,103.8808
1252,660000,104.1916
1254,662000,81.6263
1256,664000,117.4996
1258,666000,117.6622
1260,668000,123.7807
1262,670000,80.3911
1264,672000,87.4666
1266,674000,105.6794
1268,676000,98.2077
1270,678000,109.8422
1272,680000,96.1199
1274,682000,89.993
1276,684000,88.4008
1278,686000,71.2328
1280,688000,30.5289
1282,690000,108.3059
1284,692000,105.2777
1286,694000,77.7465
1288,696000,75.6415
1290,698000,93.4355
1292,700000,92.8969
1294,702000,79.2407
1296,704000,115.1843
1298,706000,100.637
1300,708000,93.6084
1302,710000,109.7864
1304,712000,96.2554
1306,714000,119.1504
1308,716000,90.163
1310,718000,96.9676
1312,720000,96.652
1314,722000,74.8535
1316,724000,93.3134
1318,726000,81.7783
1320,728000,120.5676
1322,730000,102.4122
1324,732000,103.0588
1326,734000,68.002
1328,736000,95.8416
1330,738000,100.5784
1332,740000,97.4199
1334,742000,96.5472
1336,744000,93.2544
1338,746000,113.4261
1340,748000,57.6618
1342,750000,80.8733
1344,752000,74.7254
1346,754000,49.2339
1348,756000,71.5781
1350,758000,65.8749
1352,760000,127.4532
1354,762000,78.2164
1356,764000,106.703
1358,766000,90.966
1360,768000,69.0846
1362,770000,137.898
1364,772000,102.763
1366,774000,52.0643
1368,776000,177.5184
1370,778000,90.5536
1372,780000,98.941
1374,782000,74.8793
1376,784000,54.7288
1378,786000,66.8779
1380,788000,95.3217
1382,790000,73.4867
1384,792000,104.4826
1386,794000,81.8538
1388,796000,111.8457
1390,798000,102.9825
1392,800000,100.4355
1394,802000,91.0646
1396,804000,92.3876
1398,806000,106.8255
1400,808000,85.0347
1402,810000,116.159
1404,812000,123.7659
1406,814000,114.8579
1408,816000,105.5353
1410,818000,64.9135
1412,820000,109.0056
1414,822000,83.536
1416,824000,95.3608
1418,826000,51.9841
1420,828000,87.5221
1422,830000,93.7698
1424,832000,113.1312
1426,834000,89.6102
1428,836000,111.1856
1430,838000,85.0864
1432,840000,118.8884
1434,842000,86.4644
1436,844000,110.418
1438,846000,75.9098
1440,848000,113.0844
1442,850000,81.4057
1444,852000,88.6745
1446,854000,96.9946
1448,856000,105.9136
1450,858000,118.2141
1452,860000,115.2248
1454,862000,49.1891
1456,864000,98.4219
1458,866000,78.6277
1460,868000,102.737
1462,870000,93.6392
1464,872000,89.2851
1466,874000,60.8793
1468,876000,106.6013
1470,878000,87.4466
1472,880000,84.9472
1474,882000,70.9795
1476,884000,92.2828
1478,886000,117.7162
1480,888000,75.7478
1482,890000,97.6471
1484,892000,111.812
1486,894000,92.5996
1488,896000,103.6241
1490,898000,116.8605
1492,900000,100.0555
1494,902000,118.8939
1496,904000,100.3283
1498,906000,89.3558
1500,908000,72.0436
1502,910000,112.9728
1504,912000,84.4612
1506,914000,106.8976
1508,916000,92.0889
1510,918000,101.17
1512,920000,105.8439
1514,922000,90.1494
1516,924000,122.8599
1518,926000,120.9321
1520,928000,123.0336
1522,930000,87.8094
1524,932000,98.9735
1526,934000,116.0009
1528,936000,110.4827
1530,938000,87.5888
1532,940000,99.1513
1534,942000,80.669
1536,944000,103.576
1538,946000,103.3145
1540,948000,73.81
1542,950000,85.4044
1544,952000,74.3925
1546,954000,124.2335
1548,956000,99.8613
1550,958000,107.4035
1552,960000,95.6346
1554,962000,104.2653
1556,964000,73.6349
1558,966000,119.2781
1560,968000,102.9372
1562,970000,56.406
1564,972000,97.8446
1566,974000,83.2845
1568,976000,107.9733
1570,978000,68.507
1572,980000,71.1012
1574,982000,61.715
1576,984000,78.3096
1578,986000,106.6136
1580,988000,90.3211
1582,990000,82.3869
1584,992000,120.7425
1586,994000,96.404
1588,996000,83.2706
1590,998000,101.0985
1592,1000000,75.0842
1594,1002000,81.3473
1596,1004000,79.9296
1598,1006000,122.6715
1600,1008000,83.3877
1602,1010000,105.9184
1604,1012000,104.3101
1606,1014000,121.1426
1608,1016000,126.957
1610,1018000,87.6507
1612,1020000,83.0771
1614,1022000,69.3209
1616,1024000,101.8048
1618,1026000,93.4596
1620,1028000,96.735
1622,1030000,84.7338
1624,1032000,81.9252
1626,1034000,78.9033
1628,1036000,90.2543
1630,1038000,120.1221
1632,1040000,87.8545
1634,1042000,78.2885
1636,1044000,111.7995
1638,1046000,82.3731
1640,1048000,107.0133
1642,1050000,126.9335
1644,1052000,99.6251
1646,1054000,110.0319
1648,1056000,71.6725
1650,1058000,110.9701
1652,1060000,85.2369
1654,1062000,87.8541
1656,1064000,54.1283
1658,1066000,115.6892
1660,1068000,82.5518
1662,1070000,88.5681
1664,1072000,96.1727
1666,1074000,107.193
1668,1076000,93.0353
1670,1078000,108.0136
1672,1080000,88.3098
1674,1082000,97.0398
1676,1084000,107.8491
1678,1086000,102.5134
1680,1088000,123.7053
1682,1090000,120.5135
1684,1092000,78.4372
1686,1094000,93.4551
1688,1096000,77.907
1690,1098000,102.8566
1692,1100000,118.075
1694,1102000,97.798
1696,1104000,81.1252
1698,1106000,90.5104
1700,1108000,72.0368
1702,1110000,89.4826
1704,1112000,111.4
1706,1114000,94.4951
1708,1116000,129.0304
1710,1118000,93.1238
1712,1120000,104.8985
1714,1122000,91.2941
1716,1124000,85.9951
1718,1126000,84.6532
1720,1128000,66.0836
1722,1130000,52.7835
1724,1132000,75.1026
1726,1134000,87.6097
1728,1136000,96.4272
1730,1138000,84.8295
1732,1140000,70.7818
1734,1142000,52.3603
1736,1144000,95.5792
1738,1146000,53.9253
1740,1148000,15.805
1742,1150000,79.776
1744,1152000,94.1719
1746,1154000,68.1417
1748,1156000,62.5844
1750,1158000,83.3441
1752,1160000,56.2955
1754,1162000,62.5246
1756,1164000,89.2067
1758,1166000,89.6536
1760,1168000,70.1604
1762,1170000,100.1583
1764,1172000,65.4524
1766,1174000,86.2797
1768,1176000,100.2701
1770,1178000,109.3363
1772,1180000,90.7506
1774,1182000,99.2604
1776,1184000,89.9457
1778,1186000,105.9705
1780,1188000,100.1481
1782,1190000,97.7777
1784,1192000,54.438
1786,1194000,86.5881
1788,1196000,107.8203
1790,1198000,113.3222
1792,1200000,68.3576
1794,1202000,85.6149
1796,1204000,87.8921
1798,1206000,79.1225
1800,1208000,80.5294
1802,1210000,78.7157
1804,1212000,119.832
1806,1214000,83.0499
1808,1216000,107.2849
1810,1218000,62.4748
1812,1220000,69.2729
1814,1222000,75.6069
1816,1224000,73.4949
1818,1226000,86.8576
1820,1228000,68.7855
1822,1230000,71.438
1824,1232000,83.2735
1826,1234000,113.1915
1828,1236000,80.3249
1830,1238000,102.7756
1832,1240000,68.9352
1834,1242000,68.2307
1836,1244000,82.1479
1838,1246000,91.9506
1840,1248000,96.7967
1842,1250000,94.9968
1844,1252000,77.2273
1846,1254000,85.1619
1848,1256000,75.499
1850,1258000,111.798
1852,1260000,105.8387
1854,1262000,133.5143
1856,1264000,92.1306
1858,1266000,78.9028
1860,1268000,78.6864
1862,1270000,66.4025
1864,1272000,84.2801
1866,1274000,82.9364
1868,1276000,100.2628
1870,1278000,99.2357
1872,1280000,83.5928
1874,1282000,85.1341
1876,1284000,119.7035
1878,1286000,87.4379
1880,1288000,91.7116
1882,1290000,94.1529
1884,1292000,90.9229
1886,1294000,86.1284
1888,1296000,80.1352
1890,1298000,111.0349
1892,1300000,74.0553
1894,1302000,107.1854
1896,1304000,103.291
1898,1306000,111.6044
1900,1308000,114.8047
1902,1310000,98.0538
1904,1312000,106.8794
1906,1314000,91.5019
1908,1316000,100.4107
1911,1318000,163.5325
1913,1320000,94.9197
1915,1322000,108.6555
1917,1324000,47.8241
1919,1326000,162.525
1921,1328000,88.3021
1923,1330000,160.154
1925,1332000,97.294
1927,1334000,50.9356
1929,1336000,62.6118
1931,1338000,81.9619
1933,1340000,86.9688
1935,1342000,106.7381
1937,1344000,88.1088
1939,1346000,105.8181
1941,1348000,41.4964
1943,1350000,80.5099
1946,1352000,72.2006
1948,1354000,90.2014
1950,1356000,102.7573
1952,1358000,108.7772
1954,1360000,116.8905
1956,1362000,107.336
1958,1364000,97.9839
1960,1366000,89.8254
1962,1368000,107.1206
1964,1370000,117.8975
1966,1372000,83.9225
1968,1374000,85.5009
1970,1376000,81.5613
1972,1378000,56.7728
1974,1380000,75.4563
1976,1382000,49.6835
1978,1384000,165.1127
1980,1386000,111.1149
1982,1388000,111.356
1984,1390000,47.2668
1986,1392000,75.6534
1988,1394000,65.805
1990,1396000,103.8599
1992,1398000,156.7935
1994,1400000,124.2974
1996,1402000,101.7661
1998,1404000,87.9163
2000,1406000,68.7737
2002,1408000,27.691
2004,1410000,76.8197
2006,1412000,120.4259
2008,1414000,101.3294
2010,1416000,86.6815
2012,1418000,129.0644
2014,1420000,95.4391
2016,1422000,114.4944
2018,1424000,99.4304
2020,1426000,88.2265
2022,1428000,97.959
2024,1430000,121.928
2026,1432000,118.1238
2028,1434000,110.5147
2031,1436000,116.4587
2033,1438000,94.1262
2035,1440000,94.9395
2037,1442000,81.4097
2039,1444000,76.8896
2041,1446000,94.5606
2043,1448000,104.0546
2045,1450000,106.435
2047,1452000,103.1459
2049,1454000,99.1021
2051,1456000,100.3834
2053,1458000,93.297
2055,1460000,81.1142
2057,1462000,102.8184
2059,1464000,69.5664
2061,1466000,64.787
2063,1468000,76.8888
2065,1470000,115.1091
2067,1472000,87.3576
2069,1474000,76.2098
2071,1476000,105.6052
2073,1478000,98.6876
2075,1480000,68.1219
2077,1482000,68.7015
2079,1484000,82.9564
2081,1486000,62.9093
2083,1488000,95.2839
2085,1490000,85.0973
2087,1492000,73.0777
2090,1494000,143.781
2092,1496000,126.4038
2094,1498000,92.011
2096,1500000,76.6374
2098,1502000,114.1047
2100,1504000,84.0397
2102,1506000,72.0865
2104,1508000,72.8227
2106,1510000,47.646
2108,1512000,77.7167
2110,1514000,87.7859
2112,1516000,84.2544
2114,1518000,103.4763
2116,1520000,108.7112
2118,1522000,105.2607
2120,1524000,116.5964
2122,1526000,39.9858
2124,1528000,102.3664
2126,1530000,80.0625
2128,1532000,89.3839
